,question,translation,model,condition,language,sentence
30,Question 10,"However, England responded strongly: it developed strong internal trade, strengthened its navy, and took advantage of innovations such as Indian trade and military strategy.",Qwen3-4B-Instruct-2507,rag_3_3,NL,"Echter, Engeland reageerde krachtig: het ontwikkelde een sterke binnenhandel, versterkte zijn marine en maakte gebruik van innovaties zoals de Indische handel en militaire strategie."
31,Question 10,"In the longer range, England was not badly punished, but actually strengthened.",Qwen3-4B-Instruct-2507,rag_3_4,NL,"In het langere bereik bleek Engeland dus niet slecht gestraft, maar juist versterkt."
32,Question 10,"Therefore, it can be said that the immediate impact was destructive, but the long-term effects provided restoration and strengthening.",Qwen3-4B-Instruct-2507,rag_3_5,NL,"Daarom kan gezegd worden dat de directe impact destructief was, maar de lange termijn effecten herstel en versterking opleverden."
33,Question 10,On the Netherlands: In the Netherlands the impact was direct and destructive.,Qwen3-4B-Instruct-2507,rag_3_6,NL,Op Nederland: In Nederland was de impact direct en destructief.
34,Question 10,"During the Napoleonic Wars, the Kingdom of the Netherlands was subjugated",Qwen3-4B-Instruct-2507,rag_3_7,NL,Tijdens de Napoleontische oorlogen werd het Koninkrijk der Nederlanden onder
35,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive.",Qwen3-4B-Instruct-2507,baseline_3_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief."
36,Question 10,"It had complex and often contradictory effects depending on the time, place and political situation. In England, Napoleon had no direct military control, but his attack on Europe, especially through the wars of the 1800s, led to major economic and social changes.",Qwen3-4B-Instruct-2507,baseline_3_1,NL,"Hij had complexe en vaak tegenstrijdige effecten, afhankelijk van de tijd, de plaats en de politieke situatie.In Engeland had Napoleon geen directe militaire controle, maar zijn aanval op Europa, vooral via de oorlogen van de 1800-tientallen, leidde tot grote economische en sociale veranderingen."
37,Question 10,"The English war with France 1803-1815, in which England played the role of leading power in world affairs, made England strong in both the navy and trade.",Qwen3-4B-Instruct-2507,baseline_3_2,NL,"De Engelse oorlog met Frankrijk 18031815, waarbij Engeland de rol van leidinggevende macht in de wereldvochtigheid speelde, maakte dat Engeland sterk werd in zowel de vloot als de handel."
38,Question 10,"The Act of 1807, like the blockade of the French trade route, strengthened England's economic position.",Qwen3-4B-Instruct-2507,baseline_3_3,NL,"De Wet van 1807, zoals de blokkade van de Franse handelsroute, versterkte Engeland's economische positie."
39,Question 10,"In addition, the war led to growth in industry and technology, which made long-term developments in the British economy possible. In the Netherlands, Napoleon's influence was much more direct.",Qwen3-4B-Instruct-2507,baseline_3_4,NL,"Daarnaast leidde de oorlog tot groei van industrie en technologie, wat langdurige ontwikkelingen in de Britse economie mogelijk maakte.In Nederland was de invloed van Napoleon veel meer direct."
40,Question 10,"After Napoleon's conquest of the Netherlands in 1806, the country was submerged into the Dutch Empire",Qwen3-4B-Instruct-2507,baseline_3_5,NL,"Na de verovering van Nederland door Napoleon in 1806, werd het land ondergedompeld in het Nederlandse Rijk het"
41,Question 10,"Napoleon Bonaparte's impact on England and the Netherlands was destructive in many aspects, but it depends on how one interprets the term ""destructive"" politically, economically, militarily and culturally.",Qwen3-4B-Instruct-2507,rag_4_0,NL,"De impact van Napoleon Bonaparte op Engeland en Nederland was in veel aspecten destructief, maar het hangt af van hoe men de term ""destructief"" interpreteert in politiek, economisch, militair en cultureel opzicht."
42,Question 10,"On England: Napoleon had a strong and direct negative impact, especially through his First and Second Wars against the United Kingdom.",Qwen3-4B-Instruct-2507,rag_4_1,NL,"Op Engeland: Napoleon had een sterke en directe negatieve impact, vooral via zijn Eerste en Tweede Oorlog tegen het Verenigd Koninkrijk."
43,Question 10,"Due to the Continental System, the ban on trade between Europe and England, England was seriously confronted with an economic crisis.",Qwen3-4B-Instruct-2507,rag_4_2,NL,Door het Stelsel van het Vaste Land het verbod op handel tussen Europa en Engeland werd Engeland ernstig geconfronteerd met een economische crisis.
44,Question 10,"This measure led to an intensification of the war, but also to a development of the British economy, such as the growth of British shipping and industrial production.",Qwen3-4B-Instruct-2507,rag_4_3,NL,"Deze maatregel leidde tot een intensivering van de oorlog, maar ook tot een ontwikkeling van de Britse economie, zoals de groei van de Britse scheepvaart en industriële productie."
45,Question 10,"Although England was initially devastated by the blockade, it managed to recover and strengthen itself, leading to military and economic dominance in the long run.",Qwen3-4B-Instruct-2507,rag_4_4,NL,"Hoewel Engeland in eerste instantie verliep door de blokkade, slaagde het erin om zich te herstellen en te versterken, wat in de lange termijn leidde tot een militaire en economische dominantie."
46,Question 10,"Therefore, it can be said that the impact was destructive in the short term, but built a strong foundation for later success.",Qwen3-4B-Instruct-2507,rag_4_5,NL,"Daarom kan worden gezegd dat de impact destructief was in de korte termijn, maar bouwde een sterke basis voor later succes."
47,Question 10,On the Netherlands: N,Qwen3-4B-Instruct-2507,rag_4_6,NL,Op Nederland: N
48,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive.",Qwen3-4B-Instruct-2507,baseline_4_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief."
49,Question 10,"Although his actions had serious consequences in both countries, there are also important positive developments and changes that can be seen. In England, Napoleon had no direct influence domestically, but he did create a major challenge through the Napoleonic Wars.",Qwen3-4B-Instruct-2507,baseline_4_1,NL,"Hoewel zijn acties in beide landen zware gevolgen hadden, zijn er ook belangrijke positieve ontwikkelingen en veranderingen die kunnen worden gezien.In Engeland had Napoleon geen directe invloed op het binnenland, maar hij veroorzaakte wel een grote uitdaging door de Napoleontische oorlogen."
50,Question 10,"The English economy and society were strongly affected by the war, especially by the blockade of European trade.",Qwen3-4B-Instruct-2507,baseline_4_2,NL,"De Engelse economie en maatschappij werden sterk getroffen door de oorlog, met name door de blokkade van de Europese handel."
51,Question 10,"However, this war led to a strong growth in the British navy and industrial production, which increasingly strengthened England as a world power.",Qwen3-4B-Instruct-2507,baseline_4_3,NL,"Echter, deze oorlog leidde tot een sterke groei van de Britse marine en industriële productie, waardoor Engeland zich steeds meer versterkte als wereldmacht."
52,Question 10,"In addition, the British economy was strengthened by the adjustment of trade and financial systems, such as the introduction of the ""war economy"".",Qwen3-4B-Instruct-2507,baseline_4_4,NL,"Daarnaast werd de Britse economie versterkt door de aanpassing van handels- en financiële systemen, zoals de invoering van de ""war economy""."
53,Question 10,"In this light it can be said that the impact, although negative in the short term, contributes to the modern development of England in the long term. In the Netherlands, Napoleon's influence was much more complex.",Qwen3-4B-Instruct-2507,baseline_4_5,NL,"In dit licht kan gezegd worden dat de impact, hoewel negatief in de korte termijn, in de lange termijn bijdragen aan de moderne ontwikkeling van Engeland.In Nederland was de invloed van Napoleon veel complexer."
54,Question 10,After the conclusion of the Dutch Republic in,Qwen3-4B-Instruct-2507,baseline_4_6,NL,Na de sluiting van de Nederlandse Republiek in
55,Question 10,"Yes, Napoleon Bonaparte's impact on England and the Netherlands was largely destructive, although the nature and extent of it differed between these two countries.",Qwen3-4B-Instruct-2507,rag_5_0,NL,"Ja, de impact van Napoleon Bonaparte op Engeland en Nederland was in grote mate destructief, hoewel de aard en de mate daarvan verschillend waren tussen deze twee landen."
56,Question 10,"On England: Napoleon's policies, especially the continental system of banning trade with Europe, had a serious negative impact on England.",Qwen3-4B-Instruct-2507,rag_5_1,NL,"Op Engeland: Napoleon's beleid, vooral het systeem van het vasteland het verbod op handel met Europa, had een ernstige negatieve invloed op Engeland."
57,Question 10,"By blocking trade between Europe and the rest of the world, England was plunged into economic crisis.",Qwen3-4B-Instruct-2507,rag_5_2,NL,"Door het blokkeren van de handel tussen Europa en de rest van de wereld, werd Engeland in een economische crisis gebracht."
58,Question 10,"However, it was precisely because of this that England was strengthened.",Qwen3-4B-Instruct-2507,rag_5_3,NL,"Echter, juist hierdoor werd Engeland versterkt."
59,Question 10,The need to remain independent led to the development of a strong domestic economy and the growing importance of the British navy and industrial production.,Qwen3-4B-Instruct-2507,rag_5_4,NL,"De noodzaak om zelfstandig te blijven, leidde tot de ontwikkeling van een sterke binnenlandse economie en het groeiende belang van de Britse marine en industriële productie."
60,Question 10,"Furthermore, the war against Napoleon like the Wars of 1803-1815 was used to strengthen England, leading to increasing national unity and economic growth.",Qwen3-4B-Instruct-2507,rag_5_5,NL,"Bovendien werd de oorlog tegen Napoleon zoals de oorlogen van 18031815 gebruikt om Engeland te versterken, wat leidde tot een toenemende nationale eenheid en economisch groei."
61,Question 10,"Although the war incurred heavy costs, the long-lasting effectiveness of the English system such as the development of British trade and the navy was a direct result of Napoleon's pressure",Qwen3-4B-Instruct-2507,rag_5_6,NL,"Hoewel de oorlog zware kosten veroorzaakte, was de langdurige effectiviteit van het Engelse systeem zoals de ontwikkeling van de Britse handel en de marine een direct resultaat van de druk van Napole"
62,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive.",Qwen3-4B-Instruct-2507,baseline_5_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief."
63,Question 10,"It had complex and often contradictory consequences depending on the time, place and context. In England, Napoleon had no direct military victory, but his attack on the British Empire through the war of 1803 to 1815 did have important effects.",Qwen3-4B-Instruct-2507,baseline_5_1,NL,"Hij had complexe en vaak tegenstrijdige gevolgen, afhankelijk van de tijd, de plaats en de context.In Engeland had Napoleon geen directe militaire overwinning, maar zijn aanval op het Britse rijk via de oorlog van 1803 tot 1815 had wel belangrijke effecten."
64,Question 10,"The English economy and society were affected by the foreign war, especially by the ""Law of the Blood"" the ban on trade with France, which led to a greater focus on industrial development and national defense.",Qwen3-4B-Instruct-2507,baseline_5_2,NL,"De Engelse economie en maatschappij werden getroffen door de vreemde oorlog, vooral door de ""Wet van het bloed"" het verbod op handel met Frankrijk, wat leidde tot een sterkere focus op industriële ontwikkeling en nationale verdediging."
65,Question 10,"In addition, the war stimulated the British economy, resulting in increased investment in industry and infrastructure.",Qwen3-4B-Instruct-2507,baseline_5_3,NL,"Bovendien werd de Britse economie door de oorlog gestimuleerd, waardoor er meer investeringen in industrie en infrastructuur plaatsvonden."
66,Question 10,"In addition, England continued to grow as a world power, and the war made clear that it was a strong, stable state, a factor that later led to the Battle of Trafalgar and the war against Napoleon. In the Netherlands, Napoleon's influence was much more direct and sometimes negative",Qwen3-4B-Instruct-2507,baseline_5_4,NL,"Daarnaast bleef Engeland als wereldmacht blijven groeien, en de oorlog maakte duidelijk dat het een sterke, stabiele staat was een factor die later bij de slag van Trafalgar en de oorlog tegen Napoleon leidde.In Nederland, was de invloed van Napoleon veel meer direct en soms negatief"
67,Question 10,"Napoleon Bonaparte's impact on England and the Netherlands was both destructive and complex, and cannot simply be defined as ""merely destructive"", but it caused serious negative consequences in both countries.",Qwen3-4B-Instruct-2507,rag_6_0,NL,"De impact van Napoleon Bonaparte op Engeland en Nederland was zowel destructief als complex, en kan niet eenvoudig worden bepaald als ""alleen destructief"", maar hij heeft in beide landen ernstige negatieve gevolgen veroorzaakt."
68,Question 10,"On England: Napoleon's policies, such as the Continental System blocking trade between Europe and England, had a destructive effect on England's economy.",Qwen3-4B-Instruct-2507,rag_6_1,NL,"Op Engeland: Napoleon's beleid, zoals het Stelsel van het vasteland het blokkeren van de handel tussen Europa en Engeland, had een destructieve effect op de economie van Engeland."
69,Question 10,War measures such as the ban on trade via the mainland put England in a state of economic pressure.,Qwen3-4B-Instruct-2507,rag_6_2,NL,Door de oorlogse maatregelen zoals de verboden van handel via het vaste land werd Engeland in een staat van economische druk gebracht.
70,Question 10,"Although England was able to respond successfully over time, for example through the development of the British navy and maritime trade, the system damaged European trade, leaving England confused in the early years of the war.",Qwen3-4B-Instruct-2507,rag_6_3,NL,"Hoewel Engeland in de loop van de tijd succesvol kon reageren bijvoorbeeld door de ontwikkeling van de Britse marine en de handel via de zee, leidde het stelsel tot een schade aan de Europese handel, wat Engeland in de eerste jaren van de oorlog verward maakte."
71,Question 10,"In addition, the war strengthened England's position as a world power, because the country was even able to defend itself and grow during the war, while Napoleon remained stuck in an economic and military struggle.",Qwen3-4B-Instruct-2507,rag_6_4,NL,"Daarnaast versterkte de oorlog de positie van Engeland als wereldmacht, want het land kon zich in de oorlog zelfs verdedigen en groeien, terwijl Napoleon in een economisch en militair gevecht bleef steken."
72,Question 10,"So, while it's beginning",Qwen3-4B-Instruct-2507,rag_6_5,NL,"Dus, terwijl het beginn"
73,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive.",Qwen3-4B-Instruct-2507,baseline_6_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief."
74,Question 10,"It had complex and often contradictory consequences, depending on the time, place and context. In England, Napoleon's influence was mainly political and military, but also an impulse for national strengthening.",Qwen3-4B-Instruct-2507,baseline_6_1,NL,"Hij had complexe en vaak tegenstrijdige gevolgen, afhankelijk van de tijd, plaats en context.In Engeland was de invloed van Napoleon vooral politiek en militair, maar ook een impuls tot nationale versterking."
75,Question 10,"The war with France, the Second and Third World Wars, led to a stronger focus on defensive policy, developing a strong navy and a strengthened economy.",Qwen3-4B-Instruct-2507,baseline_6_2,NL,"De oorlog met Frankrijk de Tweede en derde wereldoorlogen leidde tot een sterkere focus op het defensieve beleid, het ontwikkelen van een sterke marine en een versterkte economie."
76,Question 10,"The English people became more united and nationalistic, and the war played a role in building a modern state.",Qwen3-4B-Instruct-2507,baseline_6_3,NL,"Het Engelse volk werd meer unificatie en nationalisme te danken, en de oorlog speelde een rol in het opbouwen van een moderne staat."
77,Question 10,"Furthermore, the war led to major economic and social changes, such as the growth of industry and the formation of a modern government. In the Netherlands, where Napoleon installed the Batavian Republic and later the Napoleonic United States of the Netherlands, the impact was much more destructive.",Qwen3-4B-Instruct-2507,baseline_6_4,NL,"Bovendien leidde de oorlog tot grote economische en sociale veranderingen, zoals de groei van de industrie en de vorming van een modern bestuur.In Nederland, waar Napoleon de Batavische Republiek en later de Napoleontische Verenigde Staten van Nederland installeerde, was de impact veel meer destructief."
78,Question 10,"Due to the suppression of local freedom, the restructuring of the form of government and the obligation to support French policy, many became Dutch",Qwen3-4B-Instruct-2507,baseline_6_5,NL,"Door de onderdrukking van lokale vrijheid, de herstructurering van de staatsvorm en de verplichting tot het ondersteunen van Franse beleid, werden veel Nederlandse"
79,Question 10,"Yes, Napoleon Bonaparte's impact on England and the Netherlands was largely destructive, although these effects developed in different ways and time points.",Qwen3-4B-Instruct-2507,rag_7_0,NL,"Ja, de impact van Napoleon Bonaparte op Engeland en Nederland was in grote mate destructief, hoewel deze effecten op verschillende wijzen en tijdspunten ontwikkelden."
80,Question 10,"On England: Napoleon's policies, especially the ""Continental System"" blocking trade between Europe and England, had a heavy economic and social impact.",Qwen3-4B-Instruct-2507,rag_7_1,NL,"Op Engeland: Napoleon's beleid, vooral het ""Stelsel van het vasteland"" het blokkeren van handel tussen Europa en Engeland, had een zware economische en sociale impact."
81,Question 10,"Due to the ban on trade with Europe, England was brought into a period of conflict with the European powers, but that is precisely why it was able to strengthen itself.",Qwen3-4B-Instruct-2507,rag_7_2,NL,"Door de verboden van handel met Europa, werd Engeland in een periode van strijd met de Europese machten gebracht, maar juist daarom kon het zich versterken."
82,Question 10,"England was able to build its economy by focusing on the ocean, often through the British Trade Force and the British Navy.",Qwen3-4B-Instruct-2507,rag_7_3,NL,"Engeland kon zijn economie opbouwen door op de oceaan te focussen, vaak via de Britse Handelskracht en de Britse Marine."
83,Question 10,"The war against France led to a huge challenge for England, the war was lasting and cost many lives, but it made England stronger in the long run.",Qwen3-4B-Instruct-2507,rag_7_4,NL,"De oorlog tegen Frankrijk leidde tot een enorme uitdaging voor Engeland de oorlog hield duurzaam en kostte veel levens, maar het maakte Engeland steeds sterker in de lange termijn."
84,Question 10,"Therefore, the impact was destructive in the short term, but developed into a positive transformation in the longer term.",Qwen3-4B-Instruct-2507,rag_7_5,NL,"Daarom was de impact destructief in de kortetermijn, maar ontwikkelde zich tot een positieve transformatie in de langere termijn."
85,Question 10,On the Netherlands: The Netherlands was directly involved in the wars against Napoleon.,Qwen3-4B-Instruct-2507,rag_7_6,NL,Op Nederland: Nederland was direct betrokken in de oorlogen tegen Napoleon.
86,Question 10,After the conquest of the Kingdom of the Netherlands 180,Qwen3-4B-Instruct-2507,rag_7_7,NL,Na de verovering van het Koninkrijk der Nederlanden 180
87,Question 10,"No, Napoleon Bonaparte's impact on England and the Netherlands was not exclusively destructive, but complex and often dualistic, depending on the period and context. In England, Napoleon had no direct military influence, because England held a strong position under the leadership of ministers such as George III and later William Pitt the Former and later the British government.",Qwen3-4B-Instruct-2507,baseline_7_0,NL,"Nee, de impact van Napoleon Bonaparte op Engeland en Nederland was niet uitsluitend destructief, maar complex en vaak dualistisch, afhankelijk van de periode en de context.In Engeland had Napoleon geen directe militaire invloed, omdat Engeland onder leiding van ministers zoals George III en later William Pitt de Vroegere en later de Britse regering een sterke positie hield."
88,Question 10,"However, the war against France, the Napoleonic Wars, led to major economic and social changes.",Qwen3-4B-Instruct-2507,baseline_7_1,NL,De oorlog tegen Frankrijk de Napoleontische oorlogen leidde echter tot grote economische en sociale veranderingen.
89,Question 10,"For example, England's war debts increased, but at the same time a stronger national identity and a greater focus on industry and the navy developed.",Qwen3-4B-Instruct-2507,baseline_7_2,NL,"Bijvoorbeeld, de Engelse oorlogsschulden werden groter, maar tegelijkertijd ontwikkelde zich een sterkere nationale identiteit en een grotere focus op industrie en marine."
90,Question 10,"In addition, the English economy was strengthened by war measures such as the blockade, which contributed to the industrial revolution.",Qwen3-4B-Instruct-2507,baseline_7_3,NL,"Daarnaast werd de Engelse economie door de oorlogsmaatregelen zoals de blokkade versterkt, wat bijdrageerde aan de industriële revolutie."
91,Question 10,"So while there was certainly damage, the impact was also a boost for development. In the Netherlands the impact was much more direct and sometimes destructive.",Qwen3-4B-Instruct-2507,baseline_7_4,NL,"Dus terwijl er zeker schade was, was de impact ook een impuls voor ontwikkeling.In Nederland was de impact veel meer direct en soms destructief."
92,Question 10,"After the French invasion in 1795 and the establishment of the French-Dutch Republic, later the League of Flanders,",Qwen3-4B-Instruct-2507,baseline_7_5,NL,"Na de Franse inval in 1795 en de oprichting van de Frans-Nederlandse Republiek later de Bond van Vlaanderen, werd"
93,Question 10,"Napoleon Bonaparte's impact on England and the Netherlands was destructive in many aspects, but also complex and often dependent on perspectives and eras.",Qwen3-4B-Instruct-2507,rag_8_0,NL,"De impact van Napoleon Bonaparte op Engeland en Nederland was in veel aspecten destructief, maar ook complex en vaak afhankelijk van de perspectieven en tijdperken."
94,Question 10,"On England: Napoleon had a destructive influence, especially through his system of the continent, the ""blockade"" or ""continental system"".",Qwen3-4B-Instruct-2507,rag_8_1,NL,"Op Engeland: Napoleon had een destructieve invloed, vooral via zijn systeem van het vasteland het ""blockade"" of ""continental system""."
95,Question 10,"By this measure in which all European countries were banned from trading with England, Napoleon tried to isolate England economically.",Qwen3-4B-Instruct-2507,rag_8_2,NL,Door deze maatregel waarbij alle Europese landen de handel met Engeland werden verboden probeerde Napoleon Engeland economisch te isoleren.
96,Question 10,"This led to a damaging economic crisis in England, which spread to the entire world trade.",Qwen3-4B-Instruct-2507,rag_8_3,NL,"Dit leidde tot een schadelijke economische crisis in Engeland, die zich uitstrekte naar de hele wereldhandel."
